feature,importance,rank
age_band,0.1939752636835942,1
year,0.17159997492571114,2
semester,0.1662552526291279,3
highest_education,0.16534929527822614,4
is_recent_year,0.15797227635924768,5
date,0.02882272717914293,6
code_module,0.027275824244841245,7
code_presentation,0.016633749615768044,8
years_since_start,0.015782833084873445,9
id_student,0.007942946649690962,10
activity_level,0.007702080143713111,11
gender,0.006612479121383439,12
sum_click,0.006507787223685894,13
updated_at,0.006069896189237724,14
final_result_original,0.005638453933911608,15
id_site,0.005628365829507681,16
created_at,0.005415257788698324,17
semester_numeric,0.004815536119638625,18
